Release Date,Time,Actual,Forecast,Previous
"Feb 01, 2019 (Jan)",9:30,304K,165K,222K
"Jan 04, 2019 (Dec)",9:30,312K,178K,176K
"Dec 07, 2018 (Nov)",9:30,155K,200K,237K
"Nov 02, 2018 (Oct)",8:30,250K,193K,118K
"Oct 05, 2018 (Sep)",8:30,134K,185K,270K
"Sep 07, 2018 (Aug)",8:30,201K,191K,147K
"Aug 03, 2018 (Jul)",8:30,157K,193K,248K
"Jul 06, 2018 (Jun)",8:30,213K,200K,244K
"Jun 01, 2018 (May)",8:30,223K,189K,159K
"May 04, 2018 (Apr)",8:30,164K,189K,135K
"Apr 06, 2018 (Mar)",8:30,103K,193K,326K
"Mar 09, 2018 (Feb)",9:30,313K,200K,239K
"Feb 02, 2018 (Jan)",9:30,200K,184K,160K
"Jan 05, 2018 (Dec)",9:30,148K,190K,252K
"Dec 08, 2017 (Nov)",9:30,228K,200K,244K
"Nov 03, 2017 (Oct)",8:30,261K,310K,18K
"Oct 06, 2017 (Sep)",8:30,-33K,90K,169K
"Sep 01, 2017 (Aug)",8:30,156K,180K,189K
"Aug 04, 2017 (Jul)",8:30,209K,183K,231K
"Jul 07, 2017 (Jun)",8:30,222K,179K,152K
"Jun 02, 2017 (May)",8:30,138K,185K,174K
"May 05, 2017 (Apr)",8:30,211K,185K,79K
"Apr 07, 2017 (Mar)",8:30,98K,180K,219K
"Mar 10, 2017 (Feb)",9:30,235K,200K,238K
"Feb 03, 2017 (Jan)",9:30,227K,175K,157K
"Jan 06, 2017 (Dec)",9:30,156K,178K,204K
"Dec 02, 2016 (Nov)",9:30,178K,175K,142K
"Nov 04, 2016 (Oct)",8:30,161K,175K,191K
"Oct 07, 2016 (Sep)",8:30,156K,175K,167K
"Sep 02, 2016 (Aug)",8:30,151K,180K,275K
"Aug 05, 2016 (Jul)",8:30,255K,180K,292K
"Jul 08, 2016 (Jun)",8:30,287K,175K,11K
"Jun 03, 2016 (May)",8:30,38K,164K,123K
"May 06, 2016 (Apr)",8:30,160K,202K,208K
"Apr 01, 2016 (Mar)",8:30,215K,205K,245K
"Mar 04, 2016 (Feb)",9:30,242K,190K,172K
"Feb 05, 2016 (Jan)",9:30,151K,190K,262K
"Jan 08, 2016 (Dec)",9:30,292K,200K,252K
"Dec 04, 2015 (Nov)",9:30,211K,200K,298K
"Nov 06, 2015 (Oct)",9:30,271K,180K,137K
"Oct 02, 2015 (Sep)",8:30,142K,203K,136K
"Sep 04, 2015 (Aug)",8:30,173K,220K,245K
"Aug 07, 2015 (Jul)",8:30,215K,223K,231K
"Jul 02, 2015 (Jun)",8:30,223K,230K,254K
"Jun 05, 2015 (May)",8:30,280K,225K,221K
"May 08, 2015 (Apr)",8:30,223K,224K,85K
"Apr 03, 2015 (Mar)",8:30,126K,245K,264K
"Mar 06, 2015 (Feb)",9:30,295K,240K,239K
"Feb 06, 2015 (Jan)",9:30,257K,234K,329K
"Jan 09, 2015 (Dec)",9:30,252K,240K,353K
"Dec 05, 2014 (Nov)",9:30,321K,225K,243K
"Nov 07, 2014 (Oct)",9:30,214K,231K,256K
"Oct 03, 2014 (Sep)",8:30,248K,215K,180K
"Sep 05, 2014",8:30,142K,225K,212K
"Aug 01, 2014",8:30,209K,233K,298K
"Jul 03, 2014",8:30,288K,212K,224K
"Jun 06, 2014",8:30,217K,218K,282K
2-May-14,8:30,288K,210K,203K
"Apr 04, 2014",8:30,192K,200K,197K
7-Mar-14,9:30,175K,149K,129K
"Feb 07, 2014",9:30,113K,185K,75K
"Jan 10, 2014",9:30,74K,196K,241K
"Dec 06, 2013",9:30,203K,180K,200K
